11,142,184,332,166,1
17,142,184,332,166,1
20,133,191,370,110,1
18,127,306,282,122,1
12,142,184,332,166,0
11,139,206,353,230,1
17,127,83,88,233,0
21,129,103,155,233,0
9,128,102,155,233,0
5,126,316,291,114,1
13,91,283,284,198,1
5,120,300,283,47,1
18,125,319,291,114,1
11,133,191,370,110,1
11,138,182,366,75,1
4,129,103,155,233,0
19,127,83,88,233,0
13,127,306,282,122,1
15,142,184,332,166,0
17,129,103,155,233,0
22,127,306,282,122,1
17,129,103,155,233,0
12,132,182,366,75,1
23,130,107,155,233,1
9,127,306,282,122,1
21,118,264,255,168,1
4,135,107,195,37,1
23,68,137,181,30,1
20,110,83,147,157,1
21,143,208,362,35,1
0,149,198,378,197,1
19,129,296,283,47,1
8,90,102,112,62,1
23,135,107,195,37,1
6,107,88,145,157,1
20,138,182,366,75,1
6,127,306,282,122,1
16,129,103,155,233,0
17,130,69,97,233,0
18,100,286,244,241,1
21,130,106,155,233,1
21,127,83,88,233,0
22,127,83,88,233,0
19,129,103,155,233,0
22,133,267,294,47,1
0,106,286,244,241,1
2,137,199,341,100,1
19,129,296,283,47,1
21,118,98,155,233,1
17,138,182,366,75,1
2,129,103,155,233,0
21,129,103,155,233,0
20,135,195,389,98,1
23,67,135,181,30,1
23,127,83,88,233,0
13,121,297,283,47,1
14,127,83,88,233,0
14,88,210,28,192,1
15,130,69,97,233,0
2,115,290,283,47,1
1,127,83,88,233,0
10,127,83,88,233,0
12,90,102,112,62,1
6,142,184,332,166,0
12,135,191,370,110,1
19,129,103,155,233,0
0,112,294,245,95,1
19,92,292,260,158,1
12,129,103,155,233,0
11,119,286,283,47,1
13,129,103,155,233,0
9,140,188,337,56,1
23,137,58,135,233,1
15,121,209,12,64,1
5,129,103,155,233,1
18,155,162,308,109,1
17,129,103,155,233,0
5,118,293,283,47,1
0,118,257,257,105,1
4,129,296,283,47,1
11,133,305,283,47,1
6,124,62,135,233,0
5,143,174,345,102,0
10,67,128,181,30,1
3,133,101,195,37,1
2,142,201,388,179,1
10,127,83,88,233,0
21,128,102,155,233,0
15,100,114,85,238,1
8,143,209,362,35,1
20,129,103,155,233,0
14,153,198,378,197,1
19,129,103,155,233,0
7,127,306,282,122,1
5,127,83,88,233,0
6,127,306,282,122,1
12,128,102,155,233,0
5,138,182,366,75,1
3,112,288,283,47,1
5,135,306,283,47,1
1,115,301,286,228,1
16,130,106,155,233,1
15,129,103,155,233,0
22,145,217,364,191,1
21,127,59,135,233,1
14,115,301,286,228,1
8,129,103,155,233,0
16,129,103,155,233,0
10,127,83,88,233,0
7,127,83,88,233,0
19,133,191,370,110,1
0,129,103,155,233,0
12,128,102,155,233,0
11,94,106,80,48,1
8,130,106,155,233,1
1,106,286,244,241,1
6,129,296,283,47,1
12,96,182,47,24,1
1,142,184,332,166,1
15,56,122,58,9,1
17,84,286,249,101,1
17,91,283,284,198,1
12,112,294,245,95,1
19,138,182,366,75,1
17,129,103,155,233,0
12,129,103,155,233,0
17,127,59,135,233,1
19,121,297,283,47,1
0,129,296,283,47,1
11,106,286,244,241,1
6,130,106,155,233,1
1,127,83,88,233,0
0,112,294,245,95,0
20,141,185,332,166,1
1,124,293,283,47,1
8,127,83,88,233,0
9,110,286,244,241,1
8,127,83,88,233,0
18,129,296,283,47,1
10,130,106,155,233,1
5,126,210,350,225,1
21,142,184,332,166,0
12,123,96,155,233,1
3,112,294,245,95,1
5,129,103,155,233,0
21,129,103,155,233,0
0,130,106,155,233,1
10,133,101,195,37,1
17,124,62,135,233,0
15,151,214,364,191,1
10,133,191,370,110,1
16,129,296,283,47,1
2,129,103,155,233,1
14,129,103,155,233,0
19,142,184,332,166,1
23,91,283,284,198,1
11,136,205,340,189,1
15,129,103,155,233,0
9,127,83,88,233,0
19,91,283,284,198,1
0,120,211,12,64,1
9,129,296,283,47,1
1,123,63,135,233,1
5,90,102,112,62,1
2,129,103,155,233,0
17,130,106,155,233,1
20,149,198,378,197,1
4,108,252,257,105,1
4,122,298,283,47,1
19,129,103,155,233,0
0,127,306,282,122,1
8,135,188,370,110,1
22,129,296,283,47,1
17,138,182,366,75,1
18,129,103,155,233,0
23,102,257,257,105,1
4,129,103,155,233,0
8,130,194,370,110,1
12,127,306,282,122,1
8,129,103,155,233,0
17,146,215,364,191,1
23,128,301,283,47,1
8,131,182,359,67,1
15,138,191,337,56,1
18,142,184,332,166,0
18,127,83,88,233,0
1,142,184,332,166,1
11,111,285,244,241,1
21,108,252,257,105,1
0,127,83,88,233,1
1,131,87,88,233,0
12,103,280,225,218,1
21,127,307,282,122,1
10,71,132,181,30,1
8,129,103,155,233,0
1,106,288,244,241,1
8,127,83,88,233,1
16,129,103,155,233,0
23,141,180,357,77,1
8,129,103,155,233,1
22,140,182,366,75,1
0,129,103,155,233,0
0,138,182,366,75,1
23,127,83,88,233,0
21,127,83,88,233,0
6,129,103,155,233,0
20,129,103,155,233,1
7,138,188,337,56,1
5,127,83,88,233,0
5,151,252,300,191,1
17,70,140,181,30,1
11,129,103,155,233,0
22,130,224,301,6,1
11,127,307,282,122,1
13,127,83,88,233,0
6,61,204,24,248,1
6,127,58,135,233,1
20,130,69,97,233,0
14,93,281,259,158,1
6,127,83,88,233,0
5,126,102,155,233,1
14,133,191,370,110,1
5,129,296,283,47,1
18,127,83,88,233,0
21,134,206,340,189,1
18,129,103,155,233,0
8,129,103,155,233,0
9,129,296,283,47,1
11,144,228,381,191,1
9,129,103,155,233,0
10,127,83,88,233,0
12,127,83,88,233,0
1,121,301,283,47,1
21,129,103,155,233,0
22,129,296,283,47,1
1,128,102,155,233,0
13,127,59,135,233,0
23,141,189,337,56,1
16,84,286,249,101,1
21,112,294,245,95,1
22,100,286,244,241,1
19,118,165,304,67,1
17,134,191,370,110,1
20,103,280,225,218,1
17,129,103,155,233,0
0,111,285,244,241,1
2,106,286,244,241,1
13,129,103,155,233,0
23,140,194,368,55,1
14,129,103,155,233,0
23,127,307,282,122,1
20,138,182,366,75,1
23,127,83,88,233,0
17,127,83,88,233,0
10,130,73,97,233,1
17,127,306,282,122,1
9,91,283,284,198,1
6,140,210,353,230,1
4,122,298,283,47,1
19,126,102,155,233,0
23,135,306,283,47,1
9,90,102,112,62,1
7,130,107,155,233,1
0,128,102,155,233,0
8,141,180,357,77,1
3,128,102,155,233,0
16,131,87,88,233,0
7,129,296,283,47,1
17,133,101,195,37,1
20,62,131,181,30,1
4,127,83,88,233,0
23,138,182,366,75,1
0,139,214,353,230,1
21,127,83,88,233,0
4,127,83,88,233,0
2,96,183,30,164,1
20,143,174,345,102,1
12,128,103,155,233,0
19,156,256,300,191,1
9,127,83,88,233,0
17,130,106,155,233,1
2,129,103,155,233,0
15,129,103,155,233,0
22,135,107,195,37,1
8,68,137,181,30,1
14,100,188,30,164,1
21,125,319,291,114,1
18,129,103,155,233,0
23,129,296,283,47,1
11,102,257,257,105,1
16,129,103,155,233,0
11,143,174,345,102,0
21,112,294,245,95,1
7,129,103,155,233,0
16,129,103,155,233,0
9,132,103,155,233,1
3,145,217,364,191,1
21,106,188,44,162,1
18,129,103,155,233,0
19,100,114,85,238,1
21,127,306,282,122,1
0,93,104,80,48,1
21,127,83,88,233,0
14,127,83,88,233,0
5,131,181,359,67,1
9,124,293,283,47,1
19,127,83,88,233,0
22,127,59,135,233,1
19,126,176,359,67,1
10,127,83,88,233,0
2,121,301,283,47,1
17,135,107,195,37,1
0,129,103,155,233,0
21,112,294,245,95,1
12,140,183,366,75,1
10,128,103,155,233,0
8,119,286,283,47,1
16,127,83,88,233,0
9,132,107,155,233,0
11,138,182,366,75,1
0,130,106,155,233,1
16,129,97,155,233,1
9,127,83,88,233,0
22,130,194,370,110,1
2,126,102,155,233,0
7,127,83,88,233,0
18,128,194,370,110,1
4,129,103,155,233,0
21,103,280,225,218,1
23,138,182,366,75,1
8,127,83,88,233,0
17,127,83,88,233,0
23,61,211,24,248,1
5,131,303,283,47,1
0,133,192,370,110,1
16,142,197,388,179,1
8,127,83,88,233,0
15,125,308,282,122,1
20,128,102,155,233,1
18,127,59,135,233,1
11,127,292,283,47,1
18,140,194,368,55,1
1,129,103,155,233,0
3,129,103,155,233,0
21,127,83,88,233,0
18,129,103,155,233,1
9,86,235,398,195,1
21,129,103,155,233,0
18,127,83,88,233,0
18,123,69,166,233,1
0,141,187,337,56,1
7,128,180,359,67,1
11,106,286,244,241,1
18,138,182,366,75,1
15,138,182,366,75,1
22,68,137,181,30,1
22,128,286,283,47,1
10,111,286,244,241,1
12,127,59,135,233,0
22,106,286,244,241,1
0,129,103,155,233,0
10,145,217,364,191,1
1,131,93,88,233,1
7,142,184,332,166,1
4,129,103,155,233,0
1,111,285,244,241,1
3,56,122,58,9,1
12,127,83,88,233,0
